club,direccion,sitio,ciudad,pais,estado,presencial,telefono,e-mail
Acayucan,"Carretera Costera del Golfo N. 605, Barrio Villalta, Acayucan",luisglez2626.github.io/rotary/club.html,Acayucan,México,Veracruz,True,+52 938 470-4059,acayucan@rotarymexico.org
Amanecer de Tuxtla Gutierrez,"Museo de la Ciudad, Tuxtla, Tuxtla Gutiérrez, Chiapas",luisglez2626.github.io/rotary/club.html,Tuxtla Gutiérrez,México,Chiapas,True,+52 229 331-2482,amanecerdetuxtlagutierrez@rotary4195.mx
Ambar en Tuxtla Gutiérrez,"4a. Poniente Sur # 530, Col. Centro, Tuxtla Gutiérrez",luisglez2626.github.io/rotary/club.html,Tuxtla Gutiérrez,México,Chiapas,True,+52 997 913-4385,ambarentuxtlagutierrez@rotaryd4195.org
Bacalar,"Ave. 19 (Libramiento), entre Calle 26 y Calle 28, Planta Baja Local Vista Real Estate, Bacalar",luisglez2626.github.io/rotary/club.html,Bacalar,México,Quintana Roo,True,+52 998 303-1841,bacalar@clubesrotary.mx
Bahías de Huatulco,"Laguna Santa Elena, Mz. 15, Lote 1, Sector U2, Bahías de Huatulco",luisglez2626.github.io/rotary/club.html,Bahías de Huatulco,México,Oaxaca,True,+52 938 869-3623,bahiasdehuatulco@clubesrotary.mx
Campeche,"Av. Miguel Alemán s/n, Esq. Mariano Escobedo, frente a la Iglesia San Francisco, Barrio de San Francisco, Campeche",luisglez2626.github.io/rotary/club.html,Campeche,México,Campeche,True,+52 971 824-2866,campeche@clubesrotary.mx
Cancún,"Calle Miguel Hidalgo (Ruta Cinco), Región 103, Esq. con Calle 155, Cancún",luisglez2626.github.io/rotary/club.html,Cancún,México,Quintana Roo,True,+52 987 973-7386,cancun@rotarymexico.org
Cancún Bicentenario,,luisglez2626.github.io/rotary/club.html,Cancún,México,Quintana Roo,True,+52 971 899-3539,cancunbicentenario@clubesrotary.mx
Cancún Conmemorativo,"Av. Bonampak, Cancún",luisglez2626.github.io/rotary/club.html,Cancún,México,Quintana Roo,True,+52 968 436-8643,cancunconmemorativo@rotaryd4195.org
Cancún Internacional,"Av. Yaxchilán 822-2, SM 17, Cancún",luisglez2626.github.io/rotary/club.html,Cancún,México,Quintana Roo,True,+52 985 813-7095,cancuninternacional@clubesrotary.mx
Cancún Zona Hotelera,"Av. Tulum, Supermanzana 12, Manzana 1, Lote 2, a un costado del Hospital Galenia, Cancún",luisglez2626.github.io/rotary/club.html,Cancún,México,Quintana Roo,True,+52 986 692-1783,cancunzonahotelera@rotarymexico.org
Cárdenas,"Carretera Cárdenas-Comalcalco Km. 2, Cárdenas",luisglez2626.github.io/rotary/club.html,Cárdenas,México,Tabasco,True,+52 988 504-7609,cardenas@rotarymexico.org
Catemaco,"Madero # 73, Catemaco",luisglez2626.github.io/rotary/club.html,Catemaco,México,Veracruz,True,+52 988 392-5958,catemaco@rotary4195.mx
Centenario Villahermosa,"Calle Lirio # 103, Fraccionamiento Real del Ángel, Villahermosa",luisglez2626.github.io/rotary/club.html,Villahermosa,México,Tabasco,True,+52 962 759-7990,centenariovillahermosa@rotaryd4195.org
Chetumal,"Avenida San Salvador # 441, por Sicilia, Fraccionamiento Framboyanes, Othón P. Blanco, Chetumal",luisglez2626.github.io/rotary/club.html,Chetumal,México,Quintana Roo,True,+52 997 939-7586,chetumal@rotary4195.mx
Chiapa de Corzo,"Carr. Internacional y Calle 5 de Febrero, Chiapa de Corzo",luisglez2626.github.io/rotary/club.html,Chiapa de Corzo,México,Chiapas,True,+52 998 236-7231,chiapadecorzo@rotarymexico.org
Ciudad del Carmen,"Calle Adolfo López Mateos N° 226, entre Calle 26 y 61A, Col. Revolución, Ciudad del Carmen",luisglez2626.github.io/rotary/club.html,Ciudad del Carmen,México,Campeche,True,+52 287 295-2906,ciudaddelcarmen@clubesrotary.mx
Ciudad del Carmen-Centenario,"Calle 26 s/n, Colonia Revolución, Ciudad del Carmen",luisglez2626.github.io/rotary/club.html,Ciudad del Carmen,México,Campeche,True,+52 984 713-3260,ciudaddelcarmencentenario@rotaryd4195.org
Ciudad del Carmen-Centro,"Calle Caballito de Mar, entre Calle 20 y 38, Col. Playa Norte, Ciudad del Carmen",luisglez2626.github.io/rotary/club.html,Ciudad del Carmen,México,Campeche,True,+52 987 562-4394,ciudaddelcarmencentro@rotaryd4195.org
